County,Establishment Name,Establishment Address,Establishment City,Establishment State,Establishment Zip Code,Telephone Number,Application Approval Code,Date Licensed
77,HOLIDAY INN EXPRESS & SUITES-MEDICAL DISTRICT,310 EAST MONASTERY,SPRINGFIELD,MO,65810,417-887-8500,AP,09/27/2018
213,STRATFORD HOUSE INN,3502 W HWY 76,BRANSON,MO,65616,417-334-3700,AP,10/30/2018
157,SUPER 8 PERRYVILLE,119 VINCENT DRIVE,PERRYVILLE,MO,63775,573-517-7888,AP,10/01/18
209,FISH N FUN RESORT,1079 FISH N FUN ROAD,SHELL KNOB,MO,65747,(417)858-6290,AP,09/27/2018
510,RED LION HOTEL ST LOUIS CITY CENTER,400 S. 14TH STREET,ST LOUIS,MO,63103,(314) 231-5007,AP,09/28/2018
213,ROWLAND MOTEL,915 W. MAIN STREET,BRANSON,MO,6561,417-544-0299,AP,10/11/18
223,STONECREST MOTEL,915 MAIN ST,PIEDMONT,MO,63957,(573) 223-4247,AP,10/01/18
91,WILLOW SPRINGS COMFORT INN,1204 EAST MAIN STREET,WILLOW SPRINGS,MO,65793,417-469-0410,AP,10/02/18
119,SHADY BEACH,14332 HWY 59,NOEL,MO,64854,417-475-6483,AP,09/27/2018
171,CIRCLE R MOTEL,28439 US HWY 136,UNIONVILLE,MO,63565,(660)947-2472,AP,09/26/2018
97,GUEST HOUSE MOTEL,417 E CENTRAL,CARTHAGE,MO,64836,(417)358-4077,AP,10/04/18
19,RESIDENCE INN,1100 WOODLAND SPRINGS COURT,COLUMBIA,MO,65202,573-442-5601,AP,09/28/2018
163,THE VINTAGE INN,1400 BUSINESS HWY 54 WEST,BOWLING GREEN,MO,63334,573-324-2552,AP,10/04/18
209,LIGHTHOUSE LODGE RESORT,51 LAKE RD,KIMBERLING CITY,MO,65686,(417)739-4556,AP,09/21/2018
189,DRURY INN AND SUITES-ST LOUIS BRENTWOOD,8700 EAGER ROAD,BRENTWOOD,MO,63144,314-968-3704,AP,10/04/18
209,LAKESIDE RESORT,153 CONEY DR,REEDS SPRING,MO,65737,(417)338-2442,AP,10/04/18
19,EASTWOOD MOTEL,2518 BUSINESS LOOP 70 EAST,COLUMBIA,MO,65201,573-443-8793,AP,09/13/2018
510,HOTEL LUMIERE,999 NORTH SECOND ST,ST LOUIS,MO,63102,314-881-7777,AP,09/28/2018
145,NEOSHO BOONESLICK LODGE,1602 INDUSTRIAL DR,NEOSHO,MO,64850,417-455-0888,AP,09/27/2018
213,BRANSON SURREY INN,450 STATE HIGHWAY 165,BRANSON,MO,65616,417-332-8550,AP,09/13/2018
209,BRANSON TREEHOUSE ADVENTURES,159 ACORN ACRES LANE,BRANSON WEST,MO,65737,417-338-2500,AP,10/16/2018
23,DRURY INN,2220 WESTWOOD BLVD,POPLAR BLUFF,MO,63901,573-686-2451,AP,09/18/2018
183,DAYS INN,130 SALT LICK ROAD,ST PETERS,MO,63376,636-397-7101,AP,09/21/2018
213,BAYMONT HOTEL,1000 W. MAIN,BRANSON,MO,65616,417-334-1985,AP,09/10/18
77,SPRINGFIELD/ROUTE 66 KOA,5775 W. FARM ROAD 140,SPRINGFIELD,MO,65802,417-831-3645,AP,09/26/2018
47,COMFORT INN,400 S PLATTE CLAY WAY,KEARNEY,MO,64060,816-628-2288,AP,11/16/2018
43,AMERICAN INN,299 NORTH 20TH ST,OZARK,MO,65721,417-485-8800,AP,10/30/2018
51,ECONO LODGE,1926 JEFFERSON ST,JEFFERSON CITY,MO,65109,(573)636-2797,AP,10/01/18
37,ECONO LODGE,222 PECULIAR DR,BELTON,MO,64012,(816)322-1222,AP,09/26/2018
71,BUDGET LODGING,866 S OUTER RD,ST CLAIR,MO,63077,(636)629-1000,AP,09/20/2018
183,SUPER 8 ST CHARLES,3040 WEST CLAY,ST CHARLES,MO,63301,(636) 946-9992,AP,09/11/18
201,DRURY INN & SUITES,2608 E. MALONE AVE,SIKESTON,MO,63801,573-472-2299,AP,09/26/2018
510,CENTRAL WEST END HOTEL CORP LLC,4630 LINDELL BLVD,ST LOUIS,MO,63108,314-361-4900,AP,09/21/2018
29,BEAR BOTTOM RESORT,123 BEAR BOTTOM DR.,SUNRISE BEACH,MO,65079,573-374-6905,AP,09/14/2018
203,BUNKER HILL RETREAT,"HCR 67, BOX 77",MOUNTAIN VIEW,MO,65548,417-934-2333,AP,10/11/18
165,SUPER 8 MOTEL,2500 NW PRAIRIEVIEW RD,PLATTE CITY,MO,64079,816-858-2888,AP,09/26/2018
207,BAYMONT INN AND SUITES DEXTER,1608 W BUS HWY 60,DEXTER,MO,63841,573-624-5800,AP,10/09/18
99,COMFORT INN,1303 VETERANS BLVD,FESTUS,MO,63028,636-937-2888,AP,09/13/2018
203,CIRCLE B CAMPGROUND AND RESORT,18823 CIRCLE B RD,EMINENCE,MO,65466,(573)226-3618,AP,09/13/2018
29,LAKEVIEW RESORT,328 LAKEVIEW BLVD.,SUNRISE BEACH,MO,65079,573-374-5555,AP,11/16/2018
95,OAK GROVE INN,101 NORTH LOCUST,OAK GROVE,MO,64075,(816) 690-8700,AP,09/11/18
95,COMFORT INN & SUITES,3701 NE RALPH POWELL RD,LEE'S SUMMIT,MO,64064,816-554-6688,AP,09/13/2018
213,SHADY OAK MOTEL,1846 W. HWY 76,BRANSON,MO,65616,(417)334-0998,AP,10/09/18
189,TREND'S MOTEL,15652 MANCHESTER RD,ELLISVILLE,MO,63011,(636) 391-1500,AP,09/14/2018
65,RANCH MOTEL,1420 W. SCENIC RIVERS BLVD,SALEM,MO,65560,(573)729-3157,AP,10/04/18
98,SHIVAM LODGING LLC DBA MOTEL6,3031 S RANGELINE,JOPLIN,MO,64804,417-781-6400,AP,09/28/2018
77,DOUBLETREE HOTEL SPRINGFIELD,2431 N GLENSTONE AVE,SPRINGFIELD,MO,65803,(417)831-3131,AP,09/26/2018
35,CURRENT RIVER INN,602 MAIN ST,VAN BUREN,MO,63965,573-323-4274,AP,09/28/2018
53,COMFORT INN,2427 MID AMERICAN INDUSTRIAL DR,BOONVILLE,MO,65233,(660)882-5317,AP,09/27/2018
73,HERMANN MOTEL,112 EAST 10TH ST,HERMANN,MO,65041,(573) 486-3131,AP,10/09/18
147,BOULDERS INN AND SUITES MARYVILLE,2 FALL DRIVE,MARYVILLE,MO,64468,660-224-2222,AP,09/26/2018
213,QUALITY INN BY DIXIE STAMPEDE,1835 W HWY 76,BRANSON,MO,65616,417-336-1600,AP,11/06/18
105,RIVERWOOD RESORT,27823 MARIGOLD DR,LEBANON,MO,65536,417-532-2878,AP,09/27/2018
213,COMFORT INN & SUITES,5150 GRETNA ROAD,BRANSON,MO,65616,(417) 335-4731,AP,10/25/2018
53,HOTEL FREDERICK,501 EAST HIGH ST,BOONVILLE,MO,65233,660-882-2828,AP,10/15/2018
181,ROCKY RIVER INN,100 OAK TREE VILLAGE,DONIPHAN,MO,63935,(573)996-2400,AP,09/28/2018
171,REST INN HIM LLC,37796 165TH,UNIONVILLE,MO,63565,660-292-2407,AP,09/27/2018
510,EBONY  MOTEL,3622 PAGE AVE,ST LOUIS,MO,63113,(314)652-6634,AP,10/01/18
71,SUPER 8 MOTEL,601 N SERVICE RD,SULLIVAN,MO,63080,(573)468-8076,AP,09/12/18
213,BLUE HAVEN RESORT,1851 LAKESHORE DRIVE,BRANSON,MO,65616,(417)334-3917,AP,09/28/2018
31,DRURY INN & SUITES,225 DRURY LANE,JACKSON,MO,63755,573-243-9200,AP,09/27/2018
203,GRASSY CREEK CABINS AND STORAGE,17922 ST HWY 19,EMINENCE,MO,65466,573-226-3535,AP,09/27/2018
189,BEST WESTERN - 55 SOUTH INN,6224 HEIMOS RD,ST LOUIS,MO,63129,(314)416-7639,AP,09/21/2018
131,SUPER 8 LAKE OF THE OZARKS,10 MIDWAY ROAD,ELDON,MO,65026,(573) 392-2100,AP,10/30/2018
1,HAMPTON INN BY HILTON,2604 N BALTIMORE,KIRKSVILLE,MO,63501,314-458-3270,AP,09/26/2018
213,FOUR SEASONS INN,1360 W 76 COUNTRY BLVD,BRANSON,MO,65616,(417)334-0040,AP,10/11/18
77,QUALITY INN EAST,3330 E BATTLEFIELD,SPRINGFIELD,MO,65804,(417)889-6300,AP,09/28/2018
141,WESTERN HILLS MOTEL,201 N HWY 5,VERSAILLES,MO,65084,(573)378-4663,AP,10/01/18
223,KEMPER'S HIDE AWAY,R 3 BOX 3641,PIEDMONT,MO,63957,(573)223-7324,AP,11/26/2018
209,LONE PINE RESORT,137 3RD STREET,BRANSON WEST,MO,65737,(417)338-2557,AP,10/25/2018
137,LAKE VILLAGE COMMUNITY,18337 HWY 15,PARIS,MO,65275,(660)327-5151,AP,09/13/2018
510,HOLIDAY INN FOREST PARK,5915 WILSON AVENUE,ST LOUIS,MO,63110,(314)645-0700,AP,09/14/2018
219,HOLIDAY INN EXPRESS,1008 NORTH HIGHWAY 47,WARRENTON,MO,63383,636-456-2220,AP,10/04/18
201,MOTEL 6 #4328,110 S. INTERSTATE DR,SIKESTON,MO,63801,,AP,10/16/2018
189,HOLIDAY INN EXPRESS,4250 MID AMERICA LANE,ST LOUIS,MO,63129,314-894-0700,AP,09/21/2018
209,SCHOONER CREEK RESORT,27 SCHOONER CREEK RD,KIMBERLING CITY,MO,65686,(417)739-4417,AP,10/30/2018
225,HOLIDAY INN EXPRESS,1301 BANNING ST,MARSHFIELD,MO,65706,(417)859-6000,AP,09/26/2018
85,HICKORY GROVE HIDEAWAY,,PITTSBURG,MO,65724,(417)852-4440,AP,09/26/2018
19,HOLIDAY INN EXPRESS & SUITES,1402 CINNAMON HILL LANE,COLUMBIA,MO,65201,573-442-8034,AP,09/19/2018
189,STRATFORD INN,800 S HIGHWAY DR,FENTON,MO,63026,(636)343-5757,AP,10/15/2018
19,BUDGET HOST INN,900 VANDIVER DRIVE,COLUMBIA,MO,65202,573-449-1065,AP,09/28/2018
77,LA QUINTA INN & SUITES AIRPORT PLAZA,2445 N. AIRPORT PLAZA AVE.,SPRINGFIELD,MO,65803,417-447-4466,AP,09/21/2018
141,DROP ANCHOR RESORT MOTEL,25702 HIGHWAY 5,GRAVIOS MILLS,MO,65037,573-372-6620,AP,09/28/2018
35,ROSE CLIFF LODGE,HWY 103,VAN BUREN,MO,63965,(573)323-8433,AP,09/20/2018
146,MICROTEL INN & SUITES BY WYNDHAM,4101 RICHARD JOSEPH BLVD,JOPLIN,MO,64804,(417) 626-8282,AP,09/28/2018
189,LA QUINTA INN AND SUITES,13615 RIVERPORT DR.,MARYLAND HEIGHTS,MO,63043,314-209-0001,AP,09/28/2018
51,DAYS INN,2100 JEFFERSON ST,JEFFERSON CITY,MO,65109,(573) 761-3600,AP,10/18/2018
161,QUALITY INN,1507 MARTIN SPRINGS DR,ROLLA,MO,65401,573-364-8200,AP,09/26/2018
35,LEERJAK TRAVEL CENTER,ROUTE 2 BOX 2111,ELLSINORE,MO,63937,573-322-0999,AP,09/20/2018
19,EXTENDED STAY AMERICA #6196,2000 WEST BUSINESS LOOP 70,COLUMBIA,MO,65202,573-445-6800,AP,09/19/2018
209,ALPINE LODGE RESORT,434 INDIAN CREEK CIRCLE,BRANSON,MO,65616,(417)338-2514,AP,09/27/2018
31,HAMPTON INN,207 SOUTH MOUNT AUBURN ROAD,CAPE GIRARDEAU,MO,63703,573-334-4499,AP,09/20/2018
173,MARK TWAIN LANDING,42819 LANDING LN,MONROE CITY,MO,63456,(573) 735-9422,AP,10/09/18
510,ECONOMY INN MOTEL,4206 N GRAND BLVD,ST LOUIS,MO,63107,(314) 533-1212,AP,09/19/2018
510,DRURY INN & SUITES,2111 SULPHUR AVE,ST LOUIS,MO,63139,314-646-0770,AP,10/04/18
99,DRURY INN & SUITES-ARNOLD,3800 STATE RT. 141,ARNOLD,MO,63010,636-287-3111,AP,10/04/18
183,CROSSROADS HERITAGE MOTEL,404 LUETKENHAUS BLVD,WENTZVILLE,MO,63385,(636) 327-6263,AP,09/17/2018
175,COMFORT INN,1801 W OUTER RD,MOBERLY,MO,65270,660-269-9700,AP,09/21/2018
59,SAND SPRINGS RESORT,1996 HWY 64,LEBANON,MO,65536,417-532-5857,AP,09/26/2018
209,CEDAR WOOD RESORT,33 LAKE SHORE DRIVE,KIMBERLING CITY,MO,65686,(417)739-4415,AP,09/12/18
71,COMFORT INN,1320 THORNTON ST,PACIFIC,MO,63069,636-257-4600,AP,09/20/2018
193,DR. HERTICH'S HOUSE,99 N MAIN STREET,STE GENEVIEVE,MO,63670,(573)883-5744,AP,11/30/2018
161,RUSTIC MOTEL,812 SOUTH BISHOP,ROLLA,MO,65401,573-364-6943,AP,09/10/18
137,MARK TWAIN STATE PARK,37352 SHRINE ROAD,FLORIDA,MO,65283,573-565-3339,AP,09/14/2018
105,AMERICAS BEST VALUE INN,1830 WEST ELM,LEBANON,MO,65536,(417) 532-3133,AP,09/26/2018
81,FAMILY BUDGET INN,4014 MILLER ST,BETHANY,MO,64424,(660) 425-7915,AP,09/28/2018
55,SUPER 8 MOTEL,28 HWY P,CUBA,MO,65453,(573)885-2087,AP,09/27/2018
189,TRAVELODGE,9645 NATURAL BRIDGE RD,BERKELEY,MO,63134,314-890-9000,AP,09/27/2018
213,RED LION INN AND SUITES,1420 W. HWY 76,BRANSON,MO,65616,417-335-4770,AP,10/11/18
201,COMFORT INN,109 MATTHEWS,SIKESTON,MO,63801,573-472-0197,AP,09/17/2018
146,HILTON GARDEN INN,2644 EAST 32ND STREET,JOPLIN,MO,64804,417-206-6700,AP,10/15/2018
29,KAY LYNN RESORT,1073 RED BUD ROAD,OSAGE BEACH,MO,65065,573-348-2289,AP,09/07/18
167,THE BARNWOOD INN,3425 HWY 123,HUMANSVILLE,MO,65674,417-754-8250,AP,10/04/18
107,DAYS INN,301 NW 3RD ST,CONCORDIA,MO,64020,(660)463-7987,AP,09/26/2018
189,EMBASSY SUITES ST.  LOUIS AIRPORT,11237 LONE EAGLE DRIVE,BRIDGETON,MO,63044,(314) 739-8929,AP,10/04/18
183,SLEEP INN AND SUITES,1147 TECHNOLOGY DRIVE,O'FALLON,MO,63368,636-329-1000,AP,09/14/2018
9,ROCK VILLAGE COURT,21691 STATE HWY 112,CASSVILLE,MO,65625,417-847-2323,AP,09/14/2018
213,TWELVE OAKS INN,205 SCHAEFER RD,BRANSON,MO,65616,(417)334-7340,AP,10/04/18
195,TOWER EXTENDED STAY SUITES,420 NORTH MIAMI,MARSHALL,MO,65340,660-831-5080,AP,11/30/2018
167,COMFORT INN,2451 TOWER DR,BOLIVAR,MO,65613,417-326-6169,AP,10/11/18
510,CAROUSEL MOTOR HOTEL,3930 N KINGSHIGHWAY,ST LOUIS,MO,63115,(314)383-1626,AP,11/13/2018
189,DRURY INN & SUITES WESTPORT,12220 DORSETT RD,MARYLAND HEIGHTS,MO,63043,(314)576-9966,AP,10/04/18
71,SUPER 8 MOTEL,1015 E MAIN ST,UNION,MO,63084,636-583-8808,AP,09/13/2018
39,ORLEANS TRAIL MOTEL,15828 SOUTH 1525 RD,STOCKTON,MO,65785,417-276-3566,AP,11/30/2018
85,LAKEVIEW LODGE,21260 COUNTY ROAD 295,HERMITAGE,MO,65668,(417)745-6485,AP,09/27/2018
213,LODGE OF THE OZARKS,3431 WEST HWY 76,BRANSON,MO,65616,(417)334-7535,AP,10/01/18
161,GREEN STAY HOTEL & SUITES,110 N OUTER ROAD,ST JAMES,MO,65559,417-887-5658,AP,09/28/2018
213,GREENBRIER INN,3518 WEST 76 COUNTRY BLVD,BRANSON,MO,65616,417-334-0444,AP,11/01/18
213,SPINNING WHEEL INN,235 SCHAEFER DRIVE,BRANSON,MO,65616,(417)334-7746,AP,10/09/18
209,DOOLEY LODGES & RESORT,1060 CROWS NEST TRAIL,BRANSON,MO,65616,(417)338-2524,AP,09/27/2018
91,HAMPTON IN BY HILTON,1064 LONDON LAND,WEST PLAINS,MO,65775,417-255-0442,AP,11/30/2018
77,COMFORT INN & SUITES,2815 N GLENSTONE AVE,SPRINGFIELD,MO,65803,417-869-8246,AP,09/28/2018
510,MOONRISE HOTEL,6177 DELMAR BLVD,ST LOUIS,MO,63112,314-721-1111,AP,09/13/2018
55,DAYS INN AND SUITES,97 OZARK DRIVE,CUBA,MO,65453,(573) 885-0100,AP,11/06/18
146,DAYS INN,3500 RANGELINE,JOPLIN,MO,64804,(417)623-0100,AP,11/16/2018
209,HAPPY VALLEY LODGE,867 JAKES CREEK TRAIL,BRANSON,MO,65616,(417)338-2342,AP,09/27/2018
9,PLA PORT RESORT,23107 COUNTY LINE ROAD,SHELL KNOB,MO,65747,417-858-6303,AP,09/13/2018
213,CASTLE ROCK RESORT & WATER PARK,3001 GREEN MOUNTAIN DR,BRANSON,MO,65616,417-336-2913,AP,11/01/18
169,BEST WESTERN MONTI'S INN,14086 HIGHWAY Z,ST ROBERT,MO,65584,(573)336-4299,AP,09/26/2018
189,RED ROOF INN #7126,11837 LACKLAND RD,ST LOUIS,MO,63146,(314)991-4900,AP,10/25/2018
213,LAZY VALLEY RESORT,285 RIVER LANE,BRANSON,MO,65616,(417)334-2397,AP,09/26/2018
139,AMERICAS BEST VALUE INN,202 CLARK DRIVE,NEW FLORENCE,MO,63363,(573) 835-8888,AP,09/28/2018
177,SUPER 8 MOTEL,888 SLUMBER LANE,RICHMOND,MO,64085,(816) 776-8008,AP,09/18/2018
143,HOLIDAY INN EXPRESS AND SUITES SIKESTON,115 HOSPITATLITY DRIVE,SIKESTON,MO,63801,573-475-9522,AP,09/19/2018
95,SUPER 8 MOTEL,607 SE OLDHAM PARKWAY,LEE'S SUMMIT,MO,64081,(816) 524-8181,AP,09/19/2018
67,AVA SUPER 8 MOTEL,1711 S JEFFERSON,AVA,MO,65608,417-683-1343,AP,10/11/18
73,VINCHESTER INN,129 EAST 3RD STREET,HERMANN,MO,65041,(573)486-4440,AP,09/20/2018
161,SUNSET INN,1201 KINGSHIGHWAY,ROLLA,MO,65401,(573)364-4156,AP,09/26/2018
29,LAMPLIGHTER RESORT,210 LAMPLIGHTER DRIVE,CAMDENTON,MO,65020,573-873-5150,AP,09/27/2018
99,WOODSPRING SUITES ST LOUIS ARNOLD,888 ARNOLD COMMONS DRIVE,ARNOLD,MO,63010,636-287-6441,AP,11/30/2018
61,JAMESPORT INN,305 W AUBERRY GROVE,JAMESPORT,MO,64648,(660)684-6122,AP,10/09/18
153,BIG CREEK RESORT,CR 644,THEODOSIA,MO,65761,417-712-4443,AP,11/19/2018
67,CACTUS CANYON CAMPGROUND AND RESORT LLC,ROUTE 5 BOX 722,AVA,MO,65608,417-683-9199,AP,10/09/18
510,DRURY INN - UNION STATION,201 SOUTH TWENTIETH,ST LOUIS,MO,63103,314-231-3900,AP,10/04/18
213,WELK RESORT BRANSON,1984 STATE HWY 165,BRANSON,MO,65616,417-336-3575,AP,11/06/18
95,LEE'S SUMMIT FAIRFIELD INN AND SUITES,1301 NE WINDSOR DR,LEE'S SUMMIT,MO,64086,(816)524-7572,AP,10/01/18
219,SUPER 7 INN,13100 VETERANS MEMORIAL PARKWAY,WRIGHT CITY,MO,63390,(636)745-8016,AP,09/26/2018
161,BEST WESTERN COACHLIGHT,1403 MARTIN SPRINGS DRIVE,ROLLA,MO,65401,(573)341-2511,AP,09/21/2018
98,PLAZA MOTEL,2612 E 7TH ST,JOPLIN,MO,64801,(417) 623-0610,AP,09/19/2018
169,AMERICA'S BEST VALUE INN,110 CARMEL VALLEY WAY,ST ROBERT,MO,65584,573-451-3100,AP,09/10/18
127,ECONO LODGE,3604 MCMASTER'S AVE,HANNIBAL,MO,63401,(573)221-0422,AP,10/01/18
29,ROCKWOOD RESORT MOTEL,1701 BAGNELL DAM BLVD,LAKE OZARK,MO,65049,573-365-2460,AP,09/26/2018
99,LIVING WELL VILLAGE,3602 LIONS DEN ROAD,IMPERIAL,MO,63052,636-674-5014,AP,09/13/2018
31,AUBURN PLACE HOTEL & SUITES,3265 WILLIAM ST,CAPE GIRARDEAU,MO,63703,573-651-4486,AP,09/28/2018
147,COUNTRY HEARTH INN,222  E SUMMIT DR,MARYVILLE,MO,64468,(660) 582-8088,AP,10/11/18
229,ROYAL INN AND SUITES,111 E 17TH ST,MOUNTAIN GROVE,MO,65711,(417)926-3152,AP,09/27/2018
95,WELCOME INN,3300 NW JEFFERSON ST,BLUE SPRINGS,MO,64015,(816) 228-1080,AP,09/27/2018
209,GREEN VALLEY RESORT,87 GREEN VALLEY LANE,BRANSON WEST,MO,65737,(417) 338-2241,AP,09/27/2018
221,YMCA OF THE OZARKS,13528 STATE HIGHWAY AA,POTOSI,MO,63664,(573) 438-2154,AP,11/14/2018
145,BUDGET INN,2205 S HWY 49B,NEOSHO,MO,64850,(417)451-1428,AP,09/26/2018
213,CARRIAGE HOUSE INN,3015 GREEN MTN DR,BRANSON,MO,65616,(417)335-4248,AP,09/21/2018
29,TAN-TAR-A-RESORT,494 TAN-TAR-A DRIVE,OSAGE BEACH,MO,65065,573-348-3131,AP,10/04/18
165,SUPER 8 MOTEL,800 NW ARGOSY PKWY,RIVERSIDE,MO,64151,(816)505-2888,AP,09/28/2018
23,RELAX MOTEL,3118 S WESTWOOD BLVD,POPLAR BLUFF,MO,63901,573-840-5000,AP,09/20/2018
189,BUDGET INN,6121 N LINDBERGH BLVD,HAZELWOOD,MO,63042,(314)731-1278,AP,10/15/2018
213,HOMESTEAD MOTEL,1024 W MAIN ST,BRANSON,MO,65616,417-239-1568,AP,10/11/18
213,RESIDENCE INN,280 WILDWOOD DR S,BRANSON,MO,65616,417-336-4077,AP,10/25/2018
159,BEST WESTERN STATE FAIR INN,3120 S LIMIT AVE,SEDALIA,MO,65301,(660)826-6100,AP,11/16/2018
71,ST. CLAIR SUPER 8,1010 SOUTH OUTER RD,ST CLAIR,MO,63077,636-629-8080,AP,09/27/2018
223,CLEARWATER LAKE RESORT,,PIEDMONT,MO,63957,573-223-4521,AP,10/09/18
